platform,run,boot_ms,recovery_ms,cpu_idle_pct,cpu_load_pct,mem_text_b,mem_data_b,heap_used_b,heap_free_b,footprint_kb,irq_avg_us,irq_min_us,irq_max_us,irq_jitter_us,irq_to_task_avg_us,irq_to_task_jitter_us,ctx_sw_avg_us,ctx_sw_jitter_us,load_lat_avg_us,deadline_miss_pct,priority_inv,max_tasks,fail_rate_pct,uart_kbps,uart_loss_pct,fs_write_kbps,fs_read_kbps,fs_sync_us,uptime_hrs,stress_fails,sensor_miss_pct,net_loss_pct,hf_irq_cnt,hf_miss_cnt
FreeRTOS,1,19650,0,100.00,0.00,0,0,7496,123576,47,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,11,0.00,306,764,7000,0,0,0.00,0.00,10000,0
FreeRTOS,2,19650,0,100.00,0.00,0,0,7496,123576,47,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,11,0.00,279,764,6000,0,0,0.00,0.00,10000,0
FreeRTOS,3,19650,0,100.00,0.00,0,0,7496,123576,47,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,11,0.00,330,764,6000,0,0,0.00,0.00,10000,0
FreeRTOS,4,19650,0,100.00,0.00,0,0,7496,123576,47,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,11,0.00,330,764,7000,0,0,0.00,0.00,10000,0
FreeRTOS,5,19650,0,100.00,0.00,0,0,7496,123576,47,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,11,0.00,324,764,7000,0,0,0.00,0.00,10000,0
FreeRTOS,6,19650,0,100.00,0.00,0,0,7496,123576,47,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,11,0.00,320,764,7000,0,0,0.00,0.00,10000,0
FreeRTOS,7,19650,0,100.00,0.00,0,0,7496,123576,47,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,11,0.00,314,775,7000,0,0,0.00,0.00,10000,0
FreeRTOS,8,19650,0,100.00,0.00,0,0,7496,123576,47,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,11,0.00,306,764,7000,0,0,0.00,0.00,10000,0
FreeRTOS,9,19650,0,100.00,0.00,0,0,7496,123576,47,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,11,0.00,286,764,7000,0,0,0.00,0.00,10000,0
FreeRTOS,10,19650,0,100.00,0.00,0,0,7496,123576,47,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,11,0.00,294,764,7000,0,0,0.00,0.00,10000,0
FreeRTOS,11,19650,0,100.00,0.00,0,0,7496,123576,47,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,11,0.00,299,775,7000,0,0,0.00,0.00,10000,0
FreeRTOS,12,19650,0,100.00,0.00,0,0,7496,123576,47,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,11,0.00,304,775,7000,0,0,0.00,0.00,10000,0
FreeRTOS,13,19650,0,100.00,0.00,0,0,7496,123576,47,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,11,0.00,310,764,7000,0,0,0.00,0.00,10000,0
FreeRTOS,14,19650,0,100.00,0.00,0,0,7496,123576,47,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,11,0.00,314,764,7000,0,0,0.00,0.00,10000,0
FreeRTOS,15,19650,0,100.00,0.00,0,0,7496,123576,47,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,11,0.00,316,764,6000,0,0,0.00,0.00,9999,1
FreeRTOS,16,19650,0,100.00,0.00,0,0,7496,123576,47,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,11,0.00,314,764,7000,0,0,0.00,0.00,10000,0
FreeRTOS,17,19650,0,100.00,0.00,0,0,7496,123576,47,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,11,0.00,312,764,7000,0,0,0.00,0.00,10000,0
FreeRTOS,18,19650,0,100.00,0.00,0,0,7496,123576,47,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,11,0.00,310,775,7000,0,0,0.00,0.00,10000,0
FreeRTOS,19,19650,0,100.00,0.00,0,0,7496,123576,47,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,11,0.00,308,775,7000,0,0,0.00,0.00,10000,0
FreeRTOS,20,19650,0,100.00,0.00,0,0,7496,123576,47,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,11,0.00,304,775,9000,0,0,0.00,0.00,10000,0
