platform,run,boot_ms,recovery_ms,cpu_idle_pct,cpu_load_pct,mem_text_b,mem_data_b,heap_used_b,heap_free_b,footprint_kb,irq_avg_us,irq_min_us,irq_max_us,irq_jitter_us,irq_to_task_avg_us,irq_to_task_jitter_us,ctx_sw_avg_us,ctx_sw_jitter_us,load_lat_avg_us,deadline_miss_pct,priority_inv,max_tasks,fail_rate_pct,uart_kbps,uart_loss_pct,fs_write_kbps,fs_read_kbps,fs_sync_us,uptime_hrs,stress_fails,sensor_miss_pct,net_loss_pct,hf_irq_cnt,hf_miss_cnt
Zephyr,1,1257,0,104.53,0.00,69200,62800,0,32772,4194283,2,2,20,18,14,61,2,9,2,0.00,0,0,0.00,11,0.00,194,312,4000,0,0,99.67,-1.00,9950,50
Zephyr,2,1257,0,73.05,0.00,69200,62800,0,32772,4194283,2,2,21,19,14,56,2,7,2,0.00,0,0,0.00,11,0.00,199,312,4000,0,0,99.67,-1.00,9950,50
Zephyr,3,1257,0,442.55,0.00,69200,62800,0,32772,4194283,2,2,21,19,14,55,2,8,2,0.00,0,0,0.00,11,0.00,198,312,4000,0,0,99.67,-1.00,9950,50
Zephyr,4,1257,0,52.42,0.00,69200,62800,0,32772,4194283,2,2,18,16,14,52,2,8,2,0.00,0,0,0.00,11,0.00,197,312,4000,0,0,99.67,-1.00,9950,50
Zephyr,5,1257,0,10.20,0.00,69200,62800,0,32772,4194283,2,2,20,18,14,53,2,9,2,0.00,0,0,0.00,11,0.00,196,312,4000,0,0,99.67,-1.00,9950,50
Zephyr,6,1257,0,156.07,0.00,69200,62800,0,32772,4194283,2,2,21,19,14,54,2,9,2,0.00,0,0,0.00,11,0.00,186,312,4000,0,0,99.67,-1.00,9950,50
Zephyr,7,1257,0,148.03,0.00,69200,62800,0,32772,4194283,2,2,22,20,14,60,2,9,2,0.00,0,0,0.00,11,0.00,193,314,5000,0,0,99.67,-1.00,9950,50
Zephyr,8,1257,0,89.81,0.00,69200,62800,0,32772,4194283,2,2,18,16,14,57,2,8,2,0.00,0,0,0.00,11,0.00,195,312,4000,0,0,99.67,-1.00,9950,50
Zephyr,9,1257,0,59.45,0.00,69200,62800,0,32772,4194283,2,2,20,18,14,56,2,7,2,0.00,0,0,0.00,11,0.00,194,312,5000,0,0,99.67,-1.00,9950,50
Zephyr,10,1257,0,267.03,0.00,69200,62800,0,32772,4194283,2,2,20,18,14,60,2,6,2,0.00,0,0,0.00,11,0.00,197,312,4000,0,0,99.67,-1.00,9951,49
Zephyr,11,1257,0,589.55,0.00,69200,62800,0,32772,4194283,2,2,20,18,14,58,2,8,2,0.00,0,0,0.00,11,0.00,197,312,4000,0,0,99.67,-1.00,9950,50
Zephyr,12,1257,0,10.95,0.00,69200,62800,0,32772,4194283,2,2,21,19,14,60,2,8,2,0.00,0,0,0.00,11,0.00,188,312,4000,0,0,99.67,-1.00,9950,50
Zephyr,13,1257,0,118.89,0.00,69200,62800,0,32772,4194283,2,2,21,19,14,59,2,8,2,0.00,0,0,0.00,11,0.00,208,312,4000,0,0,99.67,-1.00,9950,50
Zephyr,14,1257,0,80.94,0.00,69200,62800,0,32772,4194283,2,2,21,19,14,51,2,8,2,0.00,0,0,0.00,11,0.00,206,312,4000,0,0,99.67,-1.00,9950,50
Zephyr,15,1257,0,2817.57,0.00,69200,62800,0,32772,4194283,2,2,20,18,14,56,2,7,2,0.00,0,0,0.00,11,0.00,207,314,4000,0,0,99.67,-1.00,9950,50
Zephyr,16,1257,0,50.50,0.00,69200,62800,0,32772,4194283,2,2,22,20,14,59,2,8,2,0.00,0,0,0.00,11,0.00,203,312,4000,0,0,99.67,-1.00,9950,50
Zephyr,17,1257,0,192.77,0.00,69200,62800,0,32772,4194283,2,2,22,20,14,56,2,7,2,0.00,0,0,0.00,11,0.00,198,312,4000,0,0,99.67,-1.00,9950,50
Zephyr,18,1257,0,228.98,0.00,69200,62800,0,32772,4194283,2,2,20,18,14,56,2,8,2,0.00,0,0,0.00,11,0.00,188,312,5000,0,0,99.67,-1.00,9950,50
Zephyr,19,1257,0,11.25,0.00,69200,62800,0,32772,4194283,2,2,22,20,14,56,2,7,2,0.00,0,0,0.00,11,0.00,194,312,4000,0,0,99.67,-1.00,9950,50
Zephyr,20,1257,0,97.00,0.00,69200,62800,0,32772,4194283,2,2,21,19,14,55,2,7,2,0.00,0,0,0.00,11,0.00,193,312,4000,0,0,99.67,-1.00,9951,49
